Year of Year,Country Name,Total CO2 emissions (thousand metric tons of CO2)
1960,Germany,
1961,Germany,
1962,Germany,
1963,Germany,
1964,Germany,
1965,Germany,
1966,Germany,
1967,Germany,
1968,Germany,
1969,Germany,
1970,Germany,
1971,Germany,
1972,Germany,
1973,Germany,
1974,Germany,
1975,Germany,
1976,Germany,
1977,Germany,
1978,Germany,
1979,Germany,
1980,Germany,
1981,Germany,
1982,Germany,
1983,Germany,
1984,Germany,
1985,Germany,
1986,Germany,
1987,Germany,
1988,Germany,
1989,Germany,
1990,Germany,955310
1991,Germany,932370
1992,Germany,892750
1993,Germany,887010
1994,Germany,875810
1995,Germany,873090
1996,Germany,902750
1997,Germany,870900
1998,Germany,863140
1999,Germany,833350
2000,Germany,830080
2001,Germany,847500
2002,Germany,833180
2003,Germany,836550
2004,Germany,820830
2005,Germany,802170
2006,Germany,814160
2007,Germany,783600
2008,Germany,789550
2009,Germany,734660
2010,Germany,772920
2011,Germany,746380
2012,Germany,760020
2013,Germany,777630
2014,Germany,737490
2015,Germany,742310
2016,Germany,747150
2017,Germany,732200
2018,Germany,709540
2019,Germany,
2020,Germany,
1960,Canada,192895.201
1961,Canada,194182.318
1962,Canada,207185.5
1963,Canada,211109.19
1964,Canada,237801.283
1965,Canada,252153.921
1966,Canada,259319.239
1967,Canada,281896.958
1968,Canada,303539.592
1969,Canada,307400.943
1970,Canada,341485.708
1971,Canada,352607.719
1972,Canada,381136.979
1973,Canada,381621.023
1974,Canada,389970.782
1975,Canada,397143.434
1976,Canada,399317.965
1977,Canada,408151.768
1978,Canada,415896.472
1979,Canada,442067.851
1980,Canada,443233.957
1981,Canada,430003.421
1982,Canada,414811.04
1983,Canada,408687.15
1984,Canada,425595.687
1985,Canada,422079.034
1986,Canada,405053.153
1987,Canada,431349.21
1988,Canada,456053.789
1989,Canada,463274.112
1990,Canada,419120
1991,Canada,412930
1992,Canada,426000
1993,Canada,422680
1994,Canada,438820
1995,Canada,449500
1996,Canada,463160
1997,Canada,478530
1998,Canada,486760
1999,Canada,495140
2000,Canada,515000
2001,Canada,506940
2002,Canada,525470
2003,Canada,545360
2004,Canada,537250
2005,Canada,549970
2006,Canada,541070
2007,Canada,571310
2008,Canada,550200
2009,Canada,520800
2010,Canada,535030
2011,Canada,547720
2012,Canada,547140
2013,Canada,556350
2014,Canada,561830
2015,Canada,558800
2016,Canada,550480
2017,Canada,562260
2018,Canada,574400
2019,Canada,
2020,Canada,
1960,United Kingdom,584299.78
1961,United Kingdom,588938.535
1962,United Kingdom,593360.937
1963,United Kingdom,603822.888
1964,United Kingdom,608355.3
1965,United Kingdom,622619.93
1966,United Kingdom,618564.228
1967,United Kingdom,592517.527
1968,United Kingdom,606969.174
1969,United Kingdom,628857.497
1970,United Kingdom,653063.364
1971,United Kingdom,660863.073
1972,United Kingdom,648486.948
1973,United Kingdom,660034.331
1974,United Kingdom,617607.141
1975,United Kingdom,603643.205
1976,United Kingdom,598912.775
1977,United Kingdom,604746.972
1978,United Kingdom,605084.336
1979,United Kingdom,644893.288
1980,United Kingdom,579290.658
1981,United Kingdom,560819.979
1982,United Kingdom,548520.861
1983,United Kingdom,545741.275
1984,United Kingdom,529335.117
1985,United Kingdom,559855.558
1986,United Kingdom,568777.369
1987,United Kingdom,571868.65
1988,United Kingdom,570464.189
1989,United Kingdom,581721.879
1990,United Kingdom,556690
1991,United Kingdom,570340
1992,United Kingdom,552980
1993,United Kingdom,540520
1994,United Kingdom,535390
1995,United Kingdom,524290
1996,United Kingdom,544660
1997,United Kingdom,522330
1998,United Kingdom,525030
1999,United Kingdom,522360
2000,United Kingdom,530120
2001,United Kingdom,544480
2002,United Kingdom,530230
2003,United Kingdom,542080
2004,United Kingdom,542320
2005,United Kingdom,540600
2006,United Kingdom,541640
2007,United Kingdom,529160
2008,United Kingdom,514410
2009,United Kingdom,465120
2010,United Kingdom,481790
2011,United Kingdom,444420
2012,United Kingdom,467080
2013,United Kingdom,453060
2014,United Kingdom,414850
2015,United Kingdom,400370
2016,United Kingdom,378890
2017,United Kingdom,366380
2018,United Kingdom,358800
2019,United Kingdom,
2020,United Kingdom,
1960,India,120581.961
1961,India,130402.187
1962,India,143467.708
1963,India,154083.673
1964,India,150647.694
1965,India,165972.087
1966,India,171765.947
1967,India,172238.99
1968,India,187336.029
1969,India,190724.337
1970,India,195143.072
1971,India,205869.047
1972,India,217849.136
1973,India,224343.393
1974,India,231992.755
1975,India,252201.592
1976,India,263785.645
1977,India,279051.366
1978,India,283096.067
1979,India,296891.321
1980,India,314016.211
1981,India,338838.134
1982,India,349637.449
1983,India,378669.088
1984,India,388118.947
1985,India,426673.785
1986,India,457571.927
1987,India,488481.07
1988,India,527563.956
1989,India,579008.299
1990,India,562480
1991,India,607340
1992,India,630260
1993,India,652470
1994,India,687950
1995,India,741100
1996,India,776720
1997,India,821480
1998,India,839830
1999,India,904090
2000,India,940170
2001,India,953880
2002,India,987530
2003,India,1015890
2004,India,1087190
2005,India,1137740
2006,India,1214250
2007,India,1336100
2008,India,1423880
2009,India,1568530
2010,India,1665310
2011,India,1760800
2012,India,1908570
2013,India,1966810
2014,India,2136870
2015,India,2150220
2016,India,2183280
2017,India,2301440
2018,India,2434520
2019,India,
2020,India,
1960,Japan,232781.16
1961,Japan,283118.069
1962,Japan,293220.654
1963,Japan,325222.563
1964,Japan,359318.329
1965,Japan,386919.838
1966,Japan,419743.155
1967,Japan,489881.864
1968,Japan,562565.471
1969,Japan,653958.112
1970,Japan,768823.22
1971,Japan,797543.164
1972,Japan,853373.239
1973,Japan,915748.909
1974,Japan,915873.587
1975,Japan,870072.757
1976,Japan,908902.62
1977,Japan,935213.345
1978,Japan,903886.164
1979,Japan,955620.2
1980,Japan,947571.135
1981,Japan,929606.502
1982,Japan,900200.829
1983,Japan,883838.675
1984,Japan,940130.792
1985,Japan,915396.877
1986,Japan,915334.538
1987,Japan,905734.332
1988,Japan,989081.575
1989,Japan,1025549.89
1990,Japan,1092560
1991,Japan,1105660
1992,Japan,1117470
1993,Japan,1109660
1994,Japan,1162940
1995,Japan,1172790
1996,Japan,1186230
1997,Japan,1173990
1998,Japan,1131250
1999,Japan,1165890
2000,Japan,1182950
2001,Japan,1170620
2002,Japan,1206970
2003,Japan,1215780
2004,Japan,1211090
2005,Japan,1213820
2006,Japan,1190260
2007,Japan,1226360
2008,Japan,1159620
2009,Japan,1101210
2010,Japan,1156080
2011,Japan,1212170
2012,Japan,1252220
2013,Japan,1260900
2014,Japan,1219820
2015,Japan,1181500
2016,Japan,1171390
2017,Japan,1151930
2018,Japan,1106150
2019,Japan,
2020,Japan,
1960,Russian Federation,1448637.349
1961,Russian Federation,1493932.133
1962,Russian Federation,1567950.528
1963,Russian Federation,1681524.852
1964,Russian Federation,1788304.225
1965,Russian Federation,1897052.777
1966,Russian Federation,2003392.11
1967,Russian Federation,2094843.423
1968,Russian Federation,2153698.773
1969,Russian Federation,2242938.885
1970,Russian Federation,2359142.448
1971,Russian Federation,2503944.944
1972,Russian Federation,2634955.853
1973,Russian Federation,2746751.682
1974,Russian Federation,2851891.906
1975,Russian Federation,2998311.549
1976,Russian Federation,3113979.73
1977,Russian Federation,3220146.714
1978,Russian Federation,3330904.782
1979,Russian Federation,3358623.635
1980,Russian Federation,3491017.003
1981,Russian Federation,3425062.341
1982,Russian Federation,3489821.561
1983,Russian Federation,3539850.442
1984,Russian Federation,3571709.338
1985,Russian Federation,3851989.149
1986,Russian Federation,3862509.772
1987,Russian Federation,3847244.051
1988,Russian Federation,3950345.423
1989,Russian Federation,3862616.115
1990,Russian Federation,2164870
1991,Russian Federation,2141420
1992,Russian Federation,2005430
1993,Russian Federation,1821790
1994,Russian Federation,1612870
1995,Russian Federation,1564900
1996,Russian Federation,1534380
1997,Russian Federation,1427060
1998,Russian Federation,1418510
1999,Russian Federation,1456150
2000,Russian Federation,1489500
2001,Russian Federation,1490530
2002,Russian Federation,1491720
2003,Russian Federation,1522190
2004,Russian Federation,1534120
2005,Russian Federation,1530850
2006,Russian Federation,1590090
2007,Russian Federation,1591510
2008,Russian Federation,1613140
2009,Russian Federation,1495170
2010,Russian Federation,1583160
2011,Russian Federation,1661780
2012,Russian Federation,1666860
2013,Russian Federation,1624020
2014,Russian Federation,1606860
2015,Russian Federation,1557530
2016,Russian Federation,1530900
2017,Russian Federation,1557190
2018,Russian Federation,1607550
2019,Russian Federation,
2020,Russian Federation,
1960,China,780726.302
1961,China,552066.85
1962,China,440359.029
1963,China,436695.696
1964,China,436923.05
1965,China,475972.933
1966,China,522789.522
1967,China,433234.048
1968,China,468928.626
1969,China,577237.138
1970,China,771617.474
1971,China,876633.02
1972,China,931575.681
1973,China,968542.708
1974,China,988014.478
1975,China,1145607.47
1976,China,1196193.735
1977,China,1310310.775
1978,China,1462168.579
1979,China,1494859.884
1980,China,1467192.369
1981,China,1451501.276
1982,China,1580260.647
1983,China,1667029.201
1984,China,1814908.31
1985,China,1966553.428
1986,China,2068969.071
1987,China,2209708.531
1988,China,2369501.723
1989,China,2408540.605
1990,China,2173360
1991,China,2302190
1992,China,2418180
1993,China,2643530
1994,China,2763900
1995,China,3084870
1996,China,3064880
1997,China,3128650
1998,China,3232120
1999,China,3149200
2000,China,3344090
2001,China,3526750
2002,China,3808330
2003,China,4413300
2004,China,5121830
2005,China,5819120
2006,China,6431910
2007,China,6988210
2008,China,7195010
2009,China,7715110
2010,China,8470570
2011,China,9278250
2012,China,9533210
2013,China,9936680
2014,China,9894940
2015,China,9830430
2016,China,9814310
2017,China,10017770
2018,China,10313460
2019,China,
2020,China,
1960,United States,2890696.1
1961,United States,2880505.507
1962,United States,2987207.873
1963,United States,3119230.874
1964,United States,3255995.306
1965,United States,3390922.571
1966,United States,3561878.111
1967,United States,3695708.943
1968,United States,3831354.94
1969,United States,4024748.853
1970,United States,4328904.501
1971,United States,4356770.034
1972,United States,4564952.958
1973,United States,4770194.948
1974,United States,4598487.673
1975,United States,4406329.539
1976,United States,4613100.668
1977,United States,4742292.745
1978,United States,4890861.25
1979,United States,4901796.244
1980,United States,4723209.677
1981,United States,4535800.308
1982,United States,4306748.487
1983,United States,4341878.347
1984,United States,4475192.132
1985,United States,4492555.377
1986,United States,4495463.308
1987,United States,4688373.177
1988,United States,4892526.068
1989,United States,4955081.421
1990,United States,4844990
1991,United States,4808090
1992,United States,4880200
1993,United States,5000350
1994,United States,5073230
1995,United States,5126900
1996,United States,5283110
1997,United States,5547990
1998,United States,5590700
1999,United States,5610300
2000,United States,5776410
2001,United States,5749250
2002,United States,5594160
2003,United States,5659630
2004,United States,5740030
2005,United States,5756080
2006,United States,5656580
2007,United States,5740270
2008,United States,5563340
2009,United States,5159550
2010,United States,5392870
2011,United States,5172100
2012,United States,4950210
2013,United States,5089500
2014,United States,5102580
2015,United States,4982790
2016,United States,4888640
2017,United States,4813720
2018,United States,4981300
2019,United States,
2020,United States,
